OutreachAttempts,InitialContact,Title,SpendRatio,DealSize,LeadSource,ExistingCustomer,Region,CampaignMix,OppStatus
9,No,Manager,0.47,8700,Internet,No,SE Asia,None,yes
8,Yes,Executive,0.35,10300,Internet,No,Europe,Trial,no
8,Yes,Executive,0.17,6000,Phone,No,Other,Digital|Traditional|Trial,yes
2,No,Manager,0.23,15200,Walkin,Yes,Americas,None,no
4,Yes,Other,0.34,8400,Phone,No,Other,Digital|Trial,yes
8,Yes,Executive,0.36,8400,Internet,Yes,Australia,None,no
9,Yes,Other,0.15,6100,Phone,Yes,Americas,Traditional,yes
2,No,Manager,0.6,7600,Internet,Yes,Europe,None,no
6,No,Other,0.53,9200,Phone,Yes,Americas,None,yes
8,No,Executive,0.22,10500,Internet,No,Australia,None,no
6,No,Other,0.47,6900,Walkin,Yes,SE Asia,Digital,yes
5,No,Manager,0.56,14400,Phone,Yes,Europe,None,no
8,No,Executive,0.25,15000,Walkin,No,Americas,Trial,yes
9,No,Executive,0.21,11300,Phone,Yes,Americas,None,no
6,No,Manager,0.36,11000,Other,Yes,Australia,Trial,yes
8,No,Manager,0.56,11700,Internet,No,Australia,None,no
8,Yes,Other,0.44,7600,Internet,Yes,Other,Trial,yes
8,No,Executive,0.34,15700,Walkin,Yes,SE Asia,Trial,no
4,Yes,Other,0.42,6100,Other,No,Americas,Digital|Trial,yes
5,No,Executive,0.32,8000,Walkin,Yes,Americas,None,no
4,Yes,Executive,0.12,5000,Phone,No,Europe,Digital|Trial,yes
3,No,Other,0.33,10100,Internet,No,Australia,None,no
4,No,Other,0.33,14800,Walkin,Yes,Americas,Digital|Trial,yes
2,No,Other,0.45,15600,Phone,Yes,Australia,None,no
6,Yes,Other,0.25,10200,Phone,Yes,SE Asia,Digital|Traditional,yes
6,No,Manager,0.53,8500,Phone,No,Europe,None,no
8,Yes,Other,0.47,6300,Internet,Yes,Europe,Trial,yes
7,No,Other,0.31,14000,Internet,Yes,Australia,None,no
10,No,Manager,0.54,7300,Phone,No,Australia,Digital|Trial,yes
